car_id,value_efficiency_score,age_usage_score,performance_range_score,equipment_score,final_score,valid_from,valid_to,is_latest,scrape_date
39582,24.863567256592734,78.8394041026441,90.0,100.0,73.4257428398092,NaT,nan,True,NaT
14080,57.97831215696448,57.38631931986585,94.15540561263612,42.857142857142854,63.09429498665232,NaT,nan,True,NaT
14074,34.173412949706425,57.38631931986585,87.01426161631653,0.0,44.6434984714722,NaT,nan,True,NaT
14070,75.38704057072009,87.5633725918415,67.0,57.142857142857146,71.77331757635469,NaT,nan,True,NaT
1295,68.48287106192461,75.32563762577021,27.0,21.428571428571427,48.05927002906656,NaT,nan,True,NaT
38011,88.7244229556443,50.0,95.52341665388744,64.28571428571429,74.63338847381151,NaT,nan,True,NaT
9296,30.783828952937792,91.11613758677171,85.65710780555129,50.0,64.3892685863152,NaT,nan,True,NaT
95878,66.8836854451643,75.82871850869667,94.15540561263612,57.142857142857146,73.50266667733857,NaT,nan,True,NaT
27433,32.06850892315987,94.43881132516964,86.47140009201044,57.142857142857146,67.53039437079927,NaT,nan,True,NaT
5928,29.29546884797661,100.0,92.78739457138477,57.142857142857146,69.80643014055464,NaT,nan,True,NaT
95560,72.92991489411408,70.37282583261836,95.52341665388744,85.71428571428571,81.13511077372641,NaT,nan,True,NaT
93924,70.11544292921138,76.51899227829342,94.38340745284466,57.142857142857146,74.54017495080166,NaT,nan,True,NaT
39582,0.0,78.8394041026441,90.0,100.0,67.20985102566102,NaT,nan,True,NaT
14080,40.78227760643989,57.38631931986585,94.15540561263612,42.857142857142854,58.795286349021175,NaT,nan,True,NaT
14074,3.843501956755541,57.38631931986585,87.01426161631653,0.0,37.06102072323448,NaT,nan,True,NaT
14070,81.60416446446544,87.5633725918415,67.0,57.142857142857146,73.32759854979102,NaT,nan,True,NaT
1295,56.12999789783477,75.32563762577021,27.0,21.428571428571427,44.9710517380441,NaT,nan,True,NaT
38011,83.08663443346646,50.0,95.52341665388744,64.28571428571429,73.22394134326704,NaT,nan,True,NaT
9296,19.234458859906734,91.11613758677171,85.65710780555129,50.0,61.50192606305744,NaT,nan,True,NaT
95878,60.744751905199145,75.82871850869667,94.15540561263612,57.142857142857146,71.96793329234727,NaT,nan,True,NaT
27433,26.220692268174467,94.43881132516964,86.47140009201044,57.142857142857146,66.06844020705293,NaT,nan,True,NaT
